Id,Sentiment,Instagram Comment Text,cleaned_text,original_length,cleaned_length
1,negative, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dgn pake hijab syar'i yg lo bilang bayi nya kepanasan didalem gak ada hubungan nya woyyyy!! Otak sama jempol lo gak singkron sih ya jadinya asal nulis komentar!,username bodoh ada hubung nya gugur pakai hijab syar i lo kata bayi nya panas dalem ada hubung nya woyyyy otak sama jempol lo singkron sih jadi asal nulis komentar,35,30
2,negative,Geblek lo tata...cowo bgt dibela2in balikan...hadeww...ntar ditinggal lg nyalahin tuh cowo...padahal kitenya yg oon.,bodoh lo tata cowo banget bain balik aduh ntar tinggal nyalahin cowo padahal kitenya oon,14,15
3,negative,Kmrn termewek2 skr lengket lg duhhh kok labil bgt sih mbak kya abege ajah ato yg kmrn cari sensasi biar top markotoppp ertong gk berkualitas,kemarin mewek sekarang lengket aduh kok labil banget sih mbak kya abege ajah yang kemarin cari sensasi biar top markotoppp artis kualitas,25,22
4,negative,"Intinya kalau kesel dengan ATT nya, gausah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang bener bener tolol, skrg seandainya dia punya anak, terus anaknya dikatain sama orang yang benci sama dia, gimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada haters ??",inti kalau kesel ayutingting nya gausah anak kasi kembang psikis anak depan orang benar benar bodoh sekarang anda punya anak terus anak dikatain sama orang benci sama gimana asa benci sama orang tapi tau batesnya nama manusia gaakan semua jadi suka ada haters,59,43
5,negative,"hadewwwww permpuan itu lg!!!!sakit jiwa,knp harus dia yg jd peran utama di film hantu jeruk purut,ky khabisan stok Artis ja",hadewwwww permpuan lagi sakit jiwa harus yang jadi peran utama film hantu jeruk purut ky khabis stok artis ja,20,19
6,negative,"Pantesan di tinggalin laki, ya lakinya juga mikir kali kalau perempuannya kayagni. Ngurus diri aja dia gak becus gimana ngurus anak, mending anak sama bapake nya aja bener didiknya",pantesan tinggalin laki laki mikir kali kalau perempuan kayagni ngurus diri dia becus gimana ngurus anak mending anak sama bapake nya benar didik,29,23
7,negative,"kebiasaan balajaer nyampah d ig para artis..suka2 yg punya ig lah mau bikin caption apa,kok balajaer yg heboh dan asik ceramahin yg punya ig.tar lama2 d bikinin lagu sm teh melly loh balajaer yg berjudul""ketika balajaer bersabda""demi seonggak koin laknat nya.balajaer ngamuk berarti mengiyakan banget koin laknat nya jd penggoda d rt nya gigi.duh elah balajaer kami smua tau kale kelakuan biduan lo itu kek apa.minus segala2nya!lagi masih d bela mati2an,pd sakit jiwa",biasa bela artis nyampah ig artis suka punya ig lah mau buat terang apa kok bela artis heboh asik ceramahin punya ig tar lama bikinin lagu sama teh melly loh bela artis judul bela artis sabda seonggak koin kutuk nya bela artis ngamuk arti iya banget koin kutuk nya jadi goda rt nya gigi duh elah bela artis smua tau kale laku biduan lo kayak apa minus segala masih bela mati sakit jiwa,73,73
8,negative,krn sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yg baik mana yg buruk. Sdh tau prilaku buruk tdk tau sopan santun itu yg dipilih jd panutan. Lebih mengidolakan yg murahan dr pd yg berkelas dan ber etika,bagi besar rakyat indonesia bodoh bisa beda mana baik mana buruk tau prilaku buruk tau sopan santun pilih jadi panutan lebih idola murah pada yang kelas ber etika,40,28
9,negative,ayu janda bego pny suami kpn nikah laginya?,ayu tingting janda bodoh pny suami kpn nikah lagi,8,9
10,negative,"Anyiennnnggg.. Suaranya ancur banget, lebih merdu tukang gorengan",anying suara ancur banget lebih merdu tukang goreng,8,8
11,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah agama islam yaitu ada cpp ada cpw saksi wali nikah mas kawin mahar perkara makeup manglingi bukan syarat sah nikah sekalipun makeup syarat sebut penuh nikah sah yak ibu ibu julids,44,34
12,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek gatau diri ngerebut pacar orang mana punya abang ngedukung sifat jelek ckck,17,13
13,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,username eh situ siapa anak zaman sekarang banyak micin mna kata yang ngina bodoh pelihara,17,15
14,negative,Jijik liatnya suer deh minceeee,jijik liat suer deh minceeee,5,5
15,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",memang bukan tabu cium gitu iya memang buat eneg citra nya pura alim pura baik pura bijak pura pura yang lai anda lebih apa ada lebih baik pada citra bukan pura alim pura suci serius,45,35
16,negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",jadi masalah sini cium dpn orang bnyk harus sih punya rasa malu mgkn mabok jadi ada rasa malu mereka teman helooow buah teman akan libat cium bibir coba kalian bayangin sanggup cium bibir ma teman lebih teman lah dasar laku anak zaman sekarang emg bodoh bukan banyak micin lho,68,49
17,negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hidup kok dmana pny musuh lihat mna baik bukan orang baik pny byk musuh,18,17
18,negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",username ahhh kata jaga ucap lahh ucap ngk jaga sendiri dasar munafik dasar betina zaman sekarang ellu kali yangg lebih micin kamu sendiri otak kamu kan selangkang mana paham moga tuhan ampunin munafik kamu cantik,37,35
19,negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",username ampun upil naruto kata makin cermin kalau yang benar perempuan curang alam banget kamu kesi gua jadi prihatin mati deh kamu ngotorin dunia manusia macam kau,30,27
20,negative,"Cuman jual goyangan yak, suara macam taik...",cuman jual goyang yak suara macam taik,7,7
21,negative,Kasian ih nyari uang sampe segitunya,kasi ih nyari uang sampe segitunya,6,6
22,negative,anjir tontonan yg sangat tidak bermutu!,anjing tonton sangat mutu,6,4
